choice_id,question_id,choice,choice_score
1,1,鑽研技藝、建立根基,10
2,1,在樹林間冥想與藝術創作,7
3,1,種田吃點心喝下午茶,3
4,1,四處旅行冒險找機會,5
5,2,靜觀其變，等待最佳時機,7
6,2,衝上去再說！,4
7,2,找個安全角落喝茶,2
8,2,確保自己準備好所有工具,10
9,3,理性討論，尋求共識,7
10,3,擺出證據和邏輯擊敗對方,10
11,3,覺得無所謂，隨他吧,3
12,3,擺臭臉但其實沒生氣,5
13,4,大量社交我會疲憊,7
14,4,很會交朋友、講幹話很快樂,3
15,4,有時有點怕生但會主動,5
16,4,比起說話我更喜歡做事,10
17,5,默默補一份，當作沒事,7
18,5,把點心藏起來,10
19,5,生氣 30 秒後算了,5
20,5,哭給大家看,3
21,6,與大自然共存，悠然生活,7
22,6,建立自己的王國！,5
23,6,吃得飽、睡得好最重要,3
24,6,留名青史，傳承給子孫,10
25,7,地底溫暖的石室,10
26,7,被樹包圍的透明高塔,7
27,7,舒適小屋與花園,3
28,7,各地為家，無拘無束,5
